"Fichier","TitreCatalogue","ArtisteCatalogue","SongId","VideoUrlProposee","VideoUrlActuelle","Score","Correspondance","Action","Details"
"Johnny Hallyday & Amel Bent - Je te promets.mp4","","","","","","0","AUCUNE CORRESPONDANCE","NE PAS ECRIRE",""
"Johnny Hallyday - J'ai oublié de vivre.mp4","","","","","","0","AUCUNE CORRESPONDANCE","NE PAS ECRIRE",""
"johnny Hallyday - Laura.mp4","","","","","","0","AUCUNE CORRESPONDANCE","NE PAS ECRIRE",""
"Juliette Armanet - Le dernier jour du disco.mp4","","","","","","0","AUCUNE CORRESPONDANCE","NE PAS ECRIRE",""
"Karaoké Le Jerk - Thierry Hazard _.mp4","","","","","","0","AUCUNE CORRESPONDANCE","NE PAS ECRIRE",""
"KARAOKÉ Luz Casal  Piensa En Mi Création JP.mp4","","","","","","0","AUCUNE CORRESPONDANCE","NE PAS ECRIRE",""
"Keane - Somewhere Only We Know.mp4","","","","","","0","AUCUNE CORRESPONDANCE","NE PAS ECRIRE",""
"Kyo - Une dernière danse.mp4","","","","","","0","AUCUNE CORRESPONDANCE","NE PAS ECRIRE",""
"Lady Gaga - Always Remember Us This Way.mp4","Always remember us this way","Lady Gaga","84","/karaoke/Lady%20Gaga%20-%20Always%20Remember%20Us%20This%20Way.mp4","/karaoke/Lady%20Gaga%20-%20Always%20Remember%20Us%20This%20Way.mp4","100","CORRESPONDANCE SÛRE","A VERIFIER PUIS ECRIRE","Titre 100 / Artiste 100"
"Lara Fabian - Je suis malade.mp4","","","","","","0","AUCUNE CORRESPONDANCE","NE PAS ECRIRE",""
"Lara Fabian - Je t'aime.mp4","Je t'aime","Lara Fabian","85","/karaoke/Lara%20Fabian%20-%20Je%20t'aime.mp4","/karaoke/Lara%20Fabian%20-%20Je%20t'aime.mp4","100","CORRESPONDANCE SÛRE","A VERIFIER PUIS ECRIRE","Titre 100 / Artiste 100"
"Lara Fabian - Tout .mp4","Tout","Lara Fabian","86","/karaoke/Lara%20Fabian%20-%20Tout%20.mp4",,"100","CORRESPONDANCE SÛRE","A VERIFIER PUIS ECRIRE","Titre 100 / Artiste 100"
"Laura Pausini - Strani amori ).mp4","","","","","","0","AUCUNE CORRESPONDANCE","NE PAS ECRIRE",""
"Laurent Voulzy - Belle Île en Mer.mp4","Belle ile en mer","Laurent Voulzy","89","/karaoke/Laurent%20Voulzy%20-%20Belle%20%C3%8Ele%20en%20Mer.mp4",,"100","CORRESPONDANCE SÛRE","A VERIFIER PUIS ECRIRE","Titre 100 / Artiste 100"
"Laurent Voulzy - Le pouvoir des fleurs.mp4","Le pouvoir des fleurs","Laurent Voulzy","90","/karaoke/Laurent%20Voulzy%20-%20Le%20pouvoir%20des%20fleurs.mp4",,"100","CORRESPONDANCE SÛRE","A VERIFIER PUIS ECRIRE","Titre 100 / Artiste 100"
"Les moulins de mon cœur - Michel LEGRAND (Karaoké Piano Français).mp4","","","","","","0","AUCUNE CORRESPONDANCE","NE PAS ECRIRE",""
"Lilicub - Voyage en Italie.mp4","Voyage en italie","Lilicub","91","/karaoke/Lilicub%20-%20Voyage%20en%20Italie.mp4","/karaoke/Lilicub%20-%20Voyage%20en%20Italie.mp4","100","CORRESPONDANCE SÛRE","A VERIFIER PUIS ECRIRE","Titre 100 / Artiste 100"
"Lionel Richie - Hello.mp4","Hello","Lionel Richie","92","/karaoke/Lionel%20Richie%20-%20Hello.mp4","/karaoke/Lionel%20Richie%20-%20Hello.mp4","100","CORRESPONDANCE SÛRE","A VERIFIER PUIS ECRIRE","Titre 100 / Artiste 100"
"Louane - Je vole .mp4","Je vole","Louane","94","/karaoke/Louane%20-%20Je%20vole%20.mp4",,"100","CORRESPONDANCE SÛRE","A VERIFIER PUIS ECRIRE","Titre 100 / Artiste 100"
"Louane - Si t'étais là.mp4","Si t'étais là","Louane","93","/karaoke/Louane%20-%20Si%20t'%C3%A9tais%20l%C3%A0.mp4","/karaoke/Louane%20-%20Si%20t'%C3%A9tais%20l%C3%A0.mp4","100","CORRESPONDANCE SÛRE","A VERIFIER PUIS ECRIRE","Titre 100 / Artiste 100"
"Louis Armstrong - What a Wonderful World.mp4","","","","","","0","AUCUNE CORRESPONDANCE","NE PAS ECRIRE",""
"Manu Pilas - Bella Ciao.mp4","Bella Ciao","Manu Pilas","97","/karaoke/Manu%20Pilas%20-%20Bella%20Ciao.mp4","/karaoke/Manu%20Pilas%20-%20Bella%20Ciao.mp4","100","CORRESPONDANCE SÛRE","A VERIFIER PUIS ECRIRE","Titre 100 / Artiste 100"
"Marguerite - Les filles, les meufs.mp4","Les filles les meufs","Marguerite","100","/karaoke/Marguerite%20-%20Les%20filles%2C%20les%20meufs.mp4","/karaoke/Marguerite%20-%20Les%20filles%2C%20les%20meufs.mp4","100","CORRESPONDANCE SÛRE","A VERIFIER PUIS ECRIRE","Titre 100 / Artiste 100"
"Marine - Cœur maladroit.mp4","","","","","","0","AUCUNE CORRESPONDANCE","NE PAS ECRIRE",""
"Marine - Une fille ordinaire.mp4","Une fille ordinaire","Marine","99","/karaoke/Marine%20-%20Une%20fille%20ordinaire.mp4","/karaoke/Marine%20-%20Une%20fille%20ordinaire.mp4","100","CORRESPONDANCE SÛRE","A VERIFIER PUIS ECRIRE","Titre 100 / Artiste 100"
